,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Cust_enroll_year,Cust_enroll_month,Cust_enroll_Quarter,Cust_enroll_day,Cust_enroll_month_Phase,Age,Joining_Age
0,5524.0,1967,Graduation,Single,58138.0,0,0,2022-09-04,58,635,88,546,172.0,88.0,88,3,8,10.0,4,7,0,0,0,0,0,0,3,11,1,2022,September,Q3,Sunday,Start,58,55
1,2174.0,1964,Graduation,Single,46344.0,1,1,2024-03-08,38,11,1,6,2.0,1.0,6,2,1,1.0,2,5,0,0,0,0,0,0,3,11,0,2024,March,Q1,Friday,Start,61,60
2,4141.0,1975,Graduation,Together,71613.0,0,0,2023-08-21,26,426,49,127,111.0,21.0,42,1,8,2.0,10,4,0,0,0,0,0,0,3,11,0,2023,August,Q3,Monday,End,50,48
3,6182.0,1994,Graduation,Together,26646.0,1,0,2024-02-10,26,11,4,20,10.0,3.0,5,2,2,0.0,4,6,0,0,0,0,0,0,3,11,0,2024,February,Q1,Saturday,Start,31,30
4,5324.0,1991,PhD,Married,58293.0,1,0,2024-01-19,94,173,43,118,46.0,27.0,15,5,5,3.0,6,5,0,0,0,0,0,0,3,11,0,2024,January,Q1,Friday,Middle,34,33
5,7446.0,1977,Master,Together,62513.0,0,1,2023-09-09,16,520,42,98,0.0,42.0,14,2,6,4.0,10,6,0,0,0,0,0,0,3,11,0,2023,September,Q3,Saturday,Start,48,46
6,965.0,1981,Graduation,Divorced,55635.0,0,1,2022-11-13,34,235,65,164,50.0,49.0,27,4,7,3.0,7,6,0,0,0,0,0,0,3,11,0,2022,November,Q4,Sunday,Middle,44,41
7,6177.0,1995,PhD,Married,33454.0,1,0,2023-05-08,32,76,10,56,3.0,1.0,23,2,4,0.0,4,8,0,0,0,0,0,0,3,11,0,2023,May,Q2,Monday,Start,30,28
8,4855.0,1984,PhD,Together,30351.0,1,0,2023-06-06,19,14,0,24,3.0,3.0,2,1,3,0.0,2,9,0,0,0,0,0,0,3,11,1,2023,June,Q2,Tuesday,Start,41,39
9,5899.0,1960,PhD,Together,7668.96,1,1,2024-03-13,68,28,0,6,1.0,1.0,13,1,1,0.0,2,9,1,0,0,0,0,0,3,11,0,2024,March,Q1,Wednesday,Middle,65,64
10,1994.0,1993,Graduation,Married,50737.0,1,0,2023-11-15,11,5,5,6,0.0,2.0,1,1,1,0.0,2,7,0,0,0,0,0,0,3,11,0,2023,November,Q4,Wednesday,Middle,32,30
11,387.0,1986,Basic,Married,7668.96,0,0,2022-11-13,59,6,16,11,11.0,1.0,16,1,2,0.0,3,8,0,0,0,0,0,0,3,11,0,2022,November,Q4,Sunday,Middle,39,36
12,2125.0,1969,Graduation,Divorced,63033.0,0,0,2023-11-15,82,194,61,480,225.0,112.0,30,1,3,4.0,8,2,0,0,0,0,0,0,3,11,0,2023,November,Q4,Wednesday,Middle,56,54
13,8180.0,1962,Master,Divorced,59354.0,1,1,2023-11-15,53,233,2,53,3.0,5.0,14,3,6,1.0,5,6,0,0,0,0,0,0,3,11,0,2023,November,Q4,Wednesday,Middle,63,61
14,2569.0,1997,Graduation,Married,17323.0,0,0,2022-10-10,38,3,14,17,6.0,1.0,5,1,1,0.0,3,8,0,0,0,0,0,0,3,11,0,2022,October,Q4,Monday,Start,28,25
15,2114.0,1956,PhD,Single,82800.0,0,0,2022-11-24,23,1006,22,115,59.0,68.0,45,1,7,6.0,12,3,0,0,1,1,0,0,3,11,1,2022,November,Q4,Thursday,End,69,66
16,9736.0,1990,Graduation,Married,41850.0,1,1,2022-12-24,51,53,5,19,2.0,13.0,4,3,3,0.0,3,8,0,0,0,0,0,0,3,11,0,2022,December,Q4,Saturday,End,35,32
17,4939.0,1956,Graduation,Together,37760.0,0,0,2022-08-31,20,84,5,38,150.0,12.0,28,2,4,1.0,6,7,0,0,0,0,0,0,3,11,0,2022,August,Q3,Wednesday,End,69,66
18,6565.0,1959,Master,Married,76995.0,0,1,2023-03-28,91,1012,80,498,0.0,16.0,176,2,11,4.0,9,5,0,0,0,1,0,0,3,11,0,2023,March,Q1,Tuesday,End,66,64
19,2278.0,1995,2n Cycle,Single,33812.0,1,0,2022-11-03,86,4,17,19,30.0,24.0,39,2,2,1.0,3,6,0,0,0,0,0,0,3,11,0,2022,November,Q4,Thursday,Start,30,27
20,9360.0,1992,Graduation,Married,37040.0,0,0,2022-08-08,41,86,2,73,69.0,38.0,48,1,4,2.0,5,8,0,0,0,0,0,0,3,11,0,2022,August,Q3,Monday,Start,33,30
21,5376.0,1989,Graduation,Married,7668.96,1,0,2023-01-06,42,1,1,915,1.0,1.0,1,10,0,10.679999999999836,2,1,0,0,0,0,0,0,3,11,0,2023,January,Q1,Friday,Start,36,34
22,1993.0,1959,PhD,Married,58607.0,0,1,2022-12-23,63,867,0,86,0.0,0.0,19,3,2,3.0,9,8,0,1,0,0,0,0,3,11,0,2022,December,Q4,Friday,End,66,63
23,4047.0,1964,PhD,Married,65324.0,0,1,2024-01-11,0,384,0,102,21.0,32.0,5,3,6,2.0,9,4,0,0,0,0,0,0,3,11,0,2024,January,Q1,Thursday,Middle,61,60
24,1409.0,1961,Graduation,Together,40689.0,0,1,2023-03-18,69,270,3,27,39.0,6.0,99,7,7,1.0,5,8,0,0,0,0,0,0,3,11,0,2023,March,Q1,Saturday,Middle,64,62
25,7892.0,1979,Graduation,Single,18589.0,0,0,2023-01-02,89,6,4,25,15.0,12.0,13,2,2,1.0,3,7,0,0,0,0,0,0,3,11,0,2023,January,Q1,Monday,Start,46,44
26,2404.0,1986,Graduation,Married,53359.0,1,1,2023-05-27,4,173,4,30,3.0,6.0,41,4,5,1.0,4,7,0,0,0,0,0,0,3,11,0,2023,May,Q2,Saturday,End,39,37
27,5255.0,1996,Graduation,Single,49973.5,1,0,2023-02-20,19,5,1,3,3.0,177.35999999999967,227,0,11,0.0,2,1,0,0,0,0,0,0,3,11,0,2023,February,Q1,Monday,Middle,29,27
28,9422.0,1999,Graduation,Married,38360.0,1,0,2023-05-31,26,36,2,42,20.0,21.0,10,2,2,1.0,4,3,0,0,0,0,0,0,3,11,0,2023,May,Q2,Wednesday,End,26,24
29,1966.0,1975,PhD,Married,84618.0,0,0,2023-11-22,96,684,100,801,21.0,66.0,0,1,6,9.0,10,2,0,0,1,0,0,0,3,11,0,2023,November,Q4,Wednesday,End,50,48
30,6864.0,1999,Master,Divorced,10979.0,0,0,2024-05-22,34,8,4,10,2.0,2.0,4,2,3,0.0,3,5,0,0,0,0,0,0,3,11,0,2024,May,Q2,Wednesday,End,26,25
31,3033.0,1973,Master,Together,38620.0,0,0,2023-05-11,56,112,17,44,34.0,22.0,89,1,2,5.0,3,3,0,0,0,0,0,0,3,11,0,2023,May,Q2,Thursday,Middle,52,50
32,5710.0,1980,Graduation,Together,40548.0,0,1,2022-10-10,31,110,0,5,2.0,0.0,3,2,2,1.0,4,5,0,1,0,0,0,0,3,11,0,2022,October,Q4,Monday,Start,45,42
33,7373.0,1962,PhD,Divorced,46610.0,0,2,2022-10-29,8,96,12,96,33.0,22.0,43,6,4,1.0,6,6,0,0,0,0,0,0,3,11,1,2022,October,Q4,Saturday,End,63,60
34,8755.0,1956,Master,Married,68657.0,0,0,2023-02-20,4,482,34,471,119.0,68.0,22,1,3,5.0,9,7,0,0,0,0,0,0,3,11,0,2023,February,Q1,Monday,Middle,69,67
35,10738.0,1961,Master,Single,49389.0,1,1,2023-08-29,55,40,0,19,2.0,1.0,3,1,2,0.0,3,7,0,0,0,0,0,0,3,11,0,2023,August,Q3,Tuesday,End,64,62
36,4339.0,1980,PhD,Married,67353.0,0,1,2023-12-31,37,702,17,151,0.0,8.0,35,5,5,6.0,12,2,0,0,0,0,0,0,3,11,0,2023,December,Q4,Sunday,End,45,43
37,10755.0,1986,2n Cycle,Married,23718.0,1,0,2023-09-02,76,6,3,14,15.0,7.0,36,3,3,1.0,2,7,0,0,0,0,0,0,3,11,0,2023,September,Q3,Saturday,Start,39,37
38,8595.0,1983,Graduation,Widow,42429.0,0,1,2024-02-11,98,55,0,6,2.0,0.0,4,2,1,1.0,3,5,0,0,0,0,0,0,3,11,0,2024,February,Q1,Sunday,Middle,42,41
39,2968.0,1955,PhD,Divorced,48948.0,0,0,2023-02-01,53,437,8,206,160.0,49.0,42,2,7,10.0,5,6,1,0,0,0,0,0,3,11,1,2023,February,Q1,Wednesday,Start,70,68
40,8601.0,1990,Graduation,Married,80011.0,0,1,2023-04-29,3,421,76,536,82.0,177.35999999999967,102,2,8,6.0,5,4,0,0,0,0,0,0,3,11,0,2023,April,Q2,Saturday,End,35,33
41,503.0,1995,Master,Married,20559.0,1,0,2023-03-12,88,13,1,29,3.0,0.0,7,2,2,0.0,3,8,0,0,0,0,0,0,3,11,0,2023,March,Q1,Sunday,Middle,30,28
42,8430.0,1967,Graduation,Together,21994.0,0,1,2022-12-24,4,9,0,6,3.0,1.0,3,1,0,0.0,3,5,0,0,0,0,0,0,3,11,0,2022,December,Q4,Saturday,End,58,55
